,timeid,fig_dataset,fig_no,rpm,thrust
1075,5147137,2,F04-2,76.0,955.1
1076,5147144,2,F04-2,76.0,956.4
1077,5147155,2,F04-2,76.0,958.3
1078,5147198,2,F04-2,76.0,938.8
1079,5147203,2,F04-2,76.0,945.8
1080,5147205,2,F04-2,76.0,947.4
1081,5147208,2,F04-2,76.0,945.2
1082,5147212,2,F04-2,76.0,941.6
1083,5147213,2,F04-2,76.0,956.4
1084,5147217,2,F04-2,76.0,954.0
1085,5147592,2,F04-2,76.0,957.8
1086,5147593,2,F04-2,76.0,960.6
1087,5147621,2,F04-2,76.0,950.5
1088,5147807,2,F04-2,76.0,952.5
1089,5147810,2,F04-2,76.0,960.7
1090,5147811,2,F04-2,76.0,957.9
1091,5147816,2,F04-2,76.0,952.8
1092,5147817,2,F04-2,76.0,957.6
1093,5147828,2,F04-2,76.0,947.1
1094,5147829,2,F04-2,76.0,953.7
1095,5147831,2,F04-2,76.0,944.9
1096,5147834,2,F04-2,76.0,958.8
1097,5147835,2,F04-2,76.0,956.9
1098,5147836,2,F04-2,76.0,960.3
1099,5147837,2,F04-2,76.0,956.2
1100,5147839,2,F04-2,76.0,953.4
1101,5147840,2,F04-2,76.0,958.0
1102,5147842,2,F04-2,76.0,954.4
1103,5147846,2,F04-2,76.0,953.4
1104,5147847,2,F04-2,76.0,956.9
1105,5147848,2,F04-2,76.0,958.7
1106,5147849,2,F04-2,76.0,954.1
1107,5147852,2,F04-2,76.0,959.7
1108,5147853,2,F04-2,76.0,947.2
1109,5147854,2,F04-2,76.0,958.4
1110,5147855,2,F04-2,76.0,953.2
1111,5147901,2,F04-2,76.0,962.0
1112,5147933,2,F04-2,78.0,1016.9
1113,5148200,2,F04-2,90.0,1334.9
1114,5148201,2,F04-2,90.0,1330.1
1115,5148202,2,F04-2,89.9,1350.1
1116,5148203,2,F04-2,90.0,1334.9
1117,5148204,2,F04-2,89.9,1342.2
1118,5148205,2,F04-2,90.0,1352.8
1119,5148206,2,F04-2,90.0,1347.8
1120,5148207,2,F04-2,90.1,1335.2
1121,5148209,2,F04-2,90.0,1337.0
1122,5148255,2,F04-2,78.0,1021.7
1123,5148288,2,F04-2,78.0,1020.9
1124,5148289,2,F04-2,78.0,1029.1
1125,5148580,2,F04-2,76.0,1141.3
1126,5148790,2,F04-2,76.0,951.9
1127,5148791,2,F04-2,76.0,987.1
1128,5148792,2,F04-2,76.0,961.5
1129,5148793,2,F04-2,76.0,965.2
1130,5148794,2,F04-2,76.0,940.2
1131,5148796,2,F04-2,76.0,943.1
1132,5148799,2,F04-2,76.0,950.0
1133,5148800,2,F04-2,76.0,960.9
1134,5148803,2,F04-2,76.0,945.3
1135,5148804,2,F04-2,76.0,942.4
1136,5148809,2,F04-2,62.0,601.8
1137,5148810,2,F04-2,62.0,613.1
1138,5148811,2,F04-2,51.3,389.2
1139,5148812,2,F04-2,45.0,302.7
1140,5148826,2,F04-2,83.5,1304.3
1141,5148827,2,F04-2,85.0,1328.4
1142,5148828,2,F04-2,87.2,1346.3
1143,5148829,2,F04-2,88.7,1341.9
1144,5149345,2,F04-2,67.1,1109.1
1145,5149346,2,F04-2,69.1,953.2
1146,5149347,2,F04-2,46.7,388.6
1147,5149348,2,F04-2,45.0,364.7
1148,5149349,2,F04-2,44.9,415.3
1149,5149350,2,F04-2,37.7,282.3
1150,5149351,2,F04-2,68.4,1041.4
1151,5149352,2,F04-2,56.3,737.0
1152,5149353,2,F04-2,25.6,191.3
1153,5149354,2,F04-2,62.2,644.0
1154,5149355,2,F04-2,13.5,204.8
1155,5149357,2,F04-2,20.6,145.6
1156,5149432,2,F04-2,24.3,413.1
1157,5149433,2,F04-2,41.8,221.3
1158,5149434,2,F04-2,28.7,367.2
1159,5149435,2,F04-2,12.3,166.2
1160,5149436,2,F04-2,12.8,166.9
1161,5149438,2,F04-2,27.9,332.7
1162,5149439,2,F04-2,35.5,332.9
1163,5149440,2,F04-2,35.0,312.5
1164,5149441,2,F04-2,35.0,294.6
1165,5149442,2,F04-2,43.3,485.5
1166,5149443,2,F04-2,58.6,827.6
1167,5149444,2,F04-2,62.0,827.0
1168,5149445,2,F04-2,71.2,1050.8
1169,5149446,2,F04-2,75.3,1085.1
1170,5149448,2,F04-2,76.0,990.2
1171,5149449,2,F04-2,76.0,1012.6
1172,5149450,2,F04-2,76.0,989.7
1173,5149451,2,F04-2,76.0,976.1
1174,5149452,2,F04-2,76.0,998.4
1175,5149453,2,F04-2,76.0,1023.1
1176,5149454,2,F04-2,76.0,997.1
1177,5149455,2,F04-2,76.0,988.8
1178,5149456,2,F04-2,75.9,986.4
1179,5149457,2,F04-2,76.0,986.7
1180,5149458,2,F04-2,76.0,989.9
1181,5149459,2,F04-2,76.0,956.3
1182,5149460,2,F04-2,76.0,977.8
1183,5149461,2,F04-2,76.0,976.7
1184,5149462,2,F04-2,76.0,982.8
1185,5149463,2,F04-2,76.0,996.1
1186,5149464,2,F04-2,76.0,998.6
1187,5149465,2,F04-2,76.0,989.7
1188,5149466,2,F04-2,76.0,999.8
1189,5149468,2,F04-2,76.0,1027.5
1190,5149469,2,F04-2,76.0,1027.3
1191,5149470,2,F04-2,76.0,1033.8
1192,5151278,2,F04-2,76.0,904.5
1193,5151283,2,F04-2,76.0,894.7
1194,5151284,2,F04-2,76.0,895.3
1195,5151285,2,F04-2,76.0,871.2
1196,5151286,2,F04-2,76.0,877.9
1197,5151302,2,F04-2,76.0,877.6
1198,5151504,2,F04-2,76.0,840.8
1199,5151537,2,F04-2,76.0,835.8
