Level,E,ENE,NE,NNE,N,NNW,NW,WNW,W,WSW,SW,SSW,S,SSE,SE,ESE
0-4,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
4-8,0.0306 ,0.0252 ,0.0217 ,0.0241 ,0.0193 ,0.0221 ,0.0000 ,0.0804 ,0.0411 ,0.0294 ,0.0231 ,0.0159 ,0.0146 ,0.0212 ,0.0359 ,0.0325 
8-12,0.0243 ,0.0192 ,0.0116 ,0.0097 ,0.0103 ,0.0132 ,0.0000 ,0.0917 ,0.0392 ,0.0312 ,0.0248 ,0.0204 ,0.0196 ,0.0258 ,0.0315 ,0.0232 
12-16,0.0185 ,0.0037 ,0.0027 ,0.0030 ,0.0032 ,0.0034 ,0.0000 ,0.0287 ,0.0094 ,0.0119 ,0.0105 ,0.0167 ,0.0062 ,0.0035 ,0.0031 ,0.0109 
16-20,0.0038 ,0.0006 ,0.0008 ,0.0008 ,0.0043 ,0.0007 ,0.0000 ,0.0034 ,0.0012 ,0.0027 ,0.0015 ,0.0020 ,0.0033 ,0.0014 ,0.0004 ,0.0001 
>20,0.0000 ,0.0005 ,0.0000 ,0.0003 ,0.0006 ,0.0003 ,0.0000 ,0.0003 ,0.0000 ,0.0001 ,0.0000 ,0.0006 ,0.0010 ,0.0005 ,0.0002 ,0.0000 
