date,ae_foc_hfo,me_foc_hfo,voyage_route
2019-08-06 07:35:00,1.63101666666667,27.4264583333334,7
2019-08-07 07:35:00,1.58048333333333,16.7988916666667,7
2019-08-08 07:35:00,1.283559375,,7
2019-08-09 07:35:00,1.23212307692308,,7
2019-07-27 08:40:00,1.60433076923077,19.3,8
2019-07-28 08:40:00,1.75243333333333,31.220525,8
2019-07-29 08:40:00,1.92861666666667,30.5724083333333,8
2019-07-30 08:40:00,3.07270833333333,30.94495,8
2019-07-31 08:40:00,2.06856666666666,32.3245916666667,8
2019-08-01 08:40:00,1.63080833333333,31.6704916666667,8
2019-08-02 08:40:00,1.638875,31.4194583333333,8
2019-08-03 08:40:00,1.613825,31.503,8
2019-08-04 08:40:00,1.541925,30.9287,8
2019-08-05 08:40:00,1.549775,33.3464333333333,8
2019-08-06 08:40:00,1.43595833333333,32.0204333333333,8
2019-08-07 08:40:00,1.46081155234657,23.9082,8
2019-07-21 06:40:00,1.8210492917847,8.85017142857143,9
2019-07-22 06:40:00,1.4522,26.5236223602484,9
2019-07-23 06:40:00,1.65351637630662,27.6815665505227,9
2019-07-24 06:40:00,1.50381666666667,25.7565333333333,9
2019-07-25 06:40:00,1.48013333333333,25.6434416666667,9
2019-07-26 06:40:00,1.48919166666667,27.8690666666667,9
2019-07-27 06:40:00,1.45699166666667,25.9287666666667,9
2019-07-28 06:40:00,1.58473333333333,25.9478083333333,9
2019-07-29 06:40:00,1.6008,26.068675,9
2019-07-30 06:40:00,1.60191666666667,27.5534416666667,9
2019-07-31 06:40:00,1.51388333333333,26.390975,9
2019-08-01 06:40:00,1.54216666666667,26.6555833333333,9
2019-08-02 06:40:00,1.59510833333333,29.9562083333333,9
2019-08-03 06:40:00,1.53681666666667,28.8037333333333,9
2019-08-04 06:40:00,1.594425,28.1017166666667,9
2019-08-05 06:40:00,1.24063333333333,17.8310068965517,9
2019-08-06 06:40:00,1.3911,11.2307389830508,9
2019-08-07 06:40:00,1.36301666666667,24.3782613333333,9
2019-08-08 06:40:00,1.20126666666667,,9
