timeid,fig_dataset,fig_no,rpm_percentage,me_sfoc
5098316,0,F02-1,0.77,272.58
5098316,0,F02-1,0.77,272.58
5098317,0,F02-1,0.77,208.6
5098317,0,F02-1,0.77,208.6
5098318,0,F02-1,0.77,206.88
5098318,0,F02-1,0.77,206.88
5098319,0,F02-1,0.77,207.83
5098319,0,F02-1,0.77,207.83
5098320,0,F02-1,0.77,207.35
5098320,0,F02-1,0.77,207.35
5098321,0,F02-1,0.77,207.55
5098321,0,F02-1,0.77,207.55
5098322,0,F02-1,0.77,207.49
5098322,0,F02-1,0.77,207.49
5098323,0,F02-1,0.77,206.69
5098323,0,F02-1,0.77,206.69
5098324,0,F02-1,0.77,208.97
5098324,0,F02-1,0.77,208.97
5098325,0,F02-1,0.77,207.87
5098325,0,F02-1,0.77,207.87
5098326,0,F02-1,0.77,208.13
5098326,0,F02-1,0.77,208.13
5098327,0,F02-1,0.77,207.42
5098327,0,F02-1,0.77,207.42
5098328,0,F02-1,0.77,207.28
5098328,0,F02-1,0.77,207.28
5098329,0,F02-1,0.77,208.08
5098329,0,F02-1,0.77,208.08
5098330,0,F02-1,0.77,207.15
5098330,0,F02-1,0.77,207.15
5098331,0,F02-1,0.77,208.07
5098331,0,F02-1,0.77,208.07
5098332,0,F02-1,0.77,207.23
5098332,0,F02-1,0.77,207.23
5098333,0,F02-1,0.77,207.82
5098333,0,F02-1,0.77,207.82
5098334,0,F02-1,0.77,208.48
5098334,0,F02-1,0.77,208.48
5098335,0,F02-1,0.77,207.55
5098335,0,F02-1,0.77,207.55
5098336,0,F02-1,0.77,207.97
5098336,0,F02-1,0.77,207.97
5098337,0,F02-1,0.77,207.93
5098337,0,F02-1,0.77,207.93
5098338,0,F02-1,0.77,208.4
5098338,0,F02-1,0.77,208.4
5098339,0,F02-1,0.77,208.8
5098339,0,F02-1,0.77,208.8
5098340,0,F02-1,0.77,207.87
5098340,0,F02-1,0.77,207.87
5098341,0,F02-1,0.77,207.61
5098341,0,F02-1,0.77,207.61
5098342,0,F02-1,0.77,208.52
5098342,0,F02-1,0.77,208.52
5098343,0,F02-1,0.77,248.99
5098343,0,F02-1,0.77,248.99
5098344,0,F02-1,0.77,237.66
5098344,0,F02-1,0.77,237.66
5098345,0,F02-1,0.77,208.41
5098345,0,F02-1,0.77,208.41
5098346,0,F02-1,0.77,207.27
5098346,0,F02-1,0.77,207.27
5098347,0,F02-1,0.77,207.42
